,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,HDFCBANK,861.45,884.00,852.30,857.10,860.00,2.90,0.34,"2,42,18,091","2,10,854.81","1,305.50",738.75,,,
0,IOC,74.10,74.95,73.00,74.10,"74.35
0.25",0.34,"1,02,08,463","7,570.60",170.75,71.15,,,,
0,TECHM,519.95,521.50,510.05,519.20,520.25,1.05,0.20,"25,38,318","13,119.04",845.90,471.40,,,
0,TATASTEEL,283.90,286.25,278.50,283.20,283.50,0.30,0.11,"1,29,68,906","36,672.18",518.60,250.85,,,
0,ZEEL,155.10,159.50,152.85,153.55,153.70,0.15,0.10,"1,54,73,597","24,239.39",405.20,114.00,,,
0,BHARTIARTL,590.50,604.50,585.40,594.05,"594.50
0.45",0.08,"2,02,68,828","1,20,638.04",612.00,321.15,,,,
0,TITAN,854.00,860.00,843.90,848.70,849.00,0.30,0.04,"22,12,399","18,793.44","1,389.95",720.90,,,
0,POWERGRID,157.55,159.85,157.00,158.45,158.50,0.05,0.03,"96,56,979","15,265.75",216.25,122.15,,,
0,NESTLEIND,"16,330.00","16,505.00","16,265.00","16,303.40","16,297.00",-6.40,-0.04,"1,20,822","19,773.28","18,369.95","10,493.95",,,
0,ICICIBANK,306.00,312.80,302.00,305.65,304.30,-1.35,-0.44,"4,30,04,257","1,32,427.31",552.20,268.30,,,
0,CIPLA,620.65,626.85,612.30,620.65,"616.80
-3.85",-0.62,"79,08,843","48,969.18",632.65,355.30,,,,
0,BRITANNIA,"3,120.10","3,157.00","3,099.00","3,127.85","3,107.60",-20.25,-0.65,"5,73,550","17,912.14","3,583.75","2,100.00",,,
0,KOTAKBANK,"1,165.00","1,189.55","1,144.60","1,160.10","1,151.35",-8.75,-0.75,"59,70,190","69,899.58","1,740.00","1,001.00",,,
0,JSWSTEEL,172.00,174.85,168.95,171.05,169.50,-1.55,-0.91,"1,10,43,677","18,971.93",297.50,132.50,,,
0,SBIN,153.65,156.15,151.50,153.40,"151.95
-1.45",-0.95,"6,09,78,234","93,918.68",373.80,151.15,,,,
0,HINDUNILVR,"1,999.00","2,003.40","1,955.20","1,990.85","1,970.80",-20.05,-1.01,"42,53,431","84,165.19","2,614.30","1,659.05",,,
0,SHREECEM,"19,156.00","19,349.60","18,750.00","19,411.65","19,155.00",-256.65,-1.32,"83,207","15,873.15","25,355.00","15,410.00",,,
0,ONGC,78.75,79.00,76.40,78.00,76.95,-1.05,-1.35,"1,79,70,234","13,865.83",178.90,50.00,,,
0,AXISBANK,363.00,369.00,355.70,362.50,357.10,-5.40,-1.49,"2,47,66,949","89,896.59",827.75,286.00,,,
0,LT,835.95,845.00,818.10,835.00,821.15,-13.85,-1.66,"46,91,524","38,725.72","1,607.00",661.00,,,
0,DRREDDY,"3,950.00","3,954.15","3,825.50","3,910.20","3,838.05",-72.15,-1.85,"17,30,890","67,020.06","4,132.20","2,351.20",,,
0,GRASIM,536.85,536.95,521.55,536.85,526.00,-10.85,-2.02,"19,95,077","10,522.24",959.80,385.05,,,
0,ADANIPORTS,319.40,322.15,315.40,323.75,317.00,-6.75,-2.08,"45,92,374","14,612.02",430.60,203.00,,,
0,HDFC,"1,632.90","1,651.80","1,590.00","1,627.00","1,592.05",-34.95,-2.15,"70,24,676","1,14,005.57","2,499.90","1,473.45",,,
0,INDUSINDBK,362.30,364.00,343.20,357.30,347.20,-10.10,-2.83,"2,55,01,164","90,427.13","1,672.95",235.55,,,
0,BAJFINANCE,"2,059.00","2,077.55","1,974.50","2,042.80","1,984.00
-58.80",-2.88,"98,63,774","2,00,150.77","4,923.40","1,915.65",,,,
0,NTPC,92.15,92.65,89.80,92.90,90.20,-2.70,-2.91,"2,01,26,229","18,268.58",145.85,73.20,,,
0,BAJAJFINSV,"4,725.00","4,742.70","4,515.00","4,702.05","4,530.00",-172.05,-3.66,"10,90,464","50,551.40","9,950.00","4,160.25",,,
