,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,SYMBOL,OPEN,HIGH,LOW,PREV.,CLOSE,LTP,CHNG,%CHNG,"VOLUME
(shares)
VALUE
(₹","Lakhs)
52W",H,52W,L,TODAY
0,NIFTY,50,"9,079.45","9,178.55","9,056.10","9,066.55","9,098.00",31.45,0.35,"63,02,99,862","28,25,088.22","12,430.50","7,511.10",,
0,ITC,175.60,190.45,172.65,175.75,188.30,12.55,7.14,"5,82,49,413","1,07,359.49",310.00,134.60,,,
0,HINDALCO,121.40,130.75,120.65,120.80,128.20,7.40,6.13,"3,42,53,897","43,601.79",221.20,84.90,,,
0,ASIANPAINT,"1,503.00","1,583.50","1,501.00","1,500.05","1,576.50",76.45,5.10,"38,39,810","59,474.82","1,916.70","1,291.25",,,
0,HEROMOTOCO,"2,043.00","2,130.00","2,020.00","2,023.60","2,105.35",81.75,4.04,"26,35,473","55,216.59","3,022.90","1,475.00",,,
0,MARUTI,"4,890.00","5,073.80","4,851.05","4,891.95","5,045.00",153.05,3.13,"18,65,941","93,443.90","7,758.70","4,001.10",,,
0,UPL,359.65,370.00,356.35,356.55,367.30,10.75,3.02,"1,00,66,968","36,568.26",709.05,240.15,,,
0,SUNPHARMA,455.50,469.00,453.00,455.75,467.90,12.15,2.67,"89,52,620","41,331.56",504.80,312.00,,,
0,EICHERMOT,"13,477.00","14,199.00","13,356.10","13,675.10","14,034.90",359.80,2.63,"3,21,785","44,947.54","23,450.00","12,450.10",,,
0,BAJAJ-AUTO,"2,634.50","2,724.20","2,621.25","2,557.75","2,625.00",67.25,2.63,"34,76,278","92,584.75","3,315.15","1,788.65",,,
0,WIPRO,183.40,191.70,183.40,184.95,189.05,4.10,2.22,"71,14,838","13,424.99",301.60,159.40,,,
0,GAIL,86.40,88.20,85.50,86.25,88.10,1.85,2.14,"1,28,50,018","11,206.50",182.70,65.00,,,
0,INFRATEL,204.00,209.65,204.00,200.85,205.15,4.30,2.14,"1,34,38,332","27,803.91",296.50,120.05,,,
0,VEDL,89.00,91.75,88.15,88.55,90.15,1.60,1.81,"3,14,62,300","28,297.19",180.00,60.20,,,
0,TCS,"1,946.00","1,998.00","1,941.15","1,953.60","1,988.00",34.40,1.76,"33,95,470","67,149.15","2,296.20","1,506.05",,,
0,COALINDIA,123.90,126.25,122.80,123.25,"125.10
1.85",1.50,"61,79,114","7,703.50",271.45,119.20,,,,
0,HCLTECH,529.80,537.50,523.40,526.75,534.60,7.85,1.49,"45,13,328","23,967.58",623.50,375.25,,,
0,BPCL,310.00,316.00,301.60,308.90,312.50,3.60,1.17,"74,54,665","23,113.19",549.00,252.00,,,
0,ULTRACEMCO,"3,588.00","3,590.00","3,496.35","3,528.50","3,562.30",33.80,0.96,"7,09,757","25,170.33","4,904.95","2,910.00",,,
0,TATAMOTORS,83.10,85.20,82.90,83.45,83.95,0.50,0.60,"3,72,17,540","31,359.50",201.70,63.50,,,
0,M&M,400.15,412.20,397.80,405.05,407.00,1.95,0.48,"62,36,521","25,354.58",683.00,245.40,,,
0,INFY,666.50,679.45,665.40,669.55,672.70,3.15,0.47,"71,82,132","48,289.78",847.00,509.25,,,
0,RELIANCE,"1,435.00","1,461.45","1,425.00","1,433.70","1,439.65",5.95,0.42,"1,80,48,515","2,60,609.73","1,601.53",866.98,,,
