Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,
750634,RELIANCELR,R,0.00,0.00,0.00,-,27521654,54823.00,2,
500180,HDFCBANK,A,917.60,950.00,913.50,945.05,1453812,13664.50,38433,
532187,INDUSINDBK,A,375.00,405.40,371.60,386.80,2591246,10125.55,44715,
532215,AXISBANK,A,391.50,407.25,387.35,390.85,2442967,9725.14,39039,
500325,RELIANCE,A,1455.00,1479.20,1450.55,1472.65,641847,9416.95,26500,
500112,SBIN,A,159.90,162.45,156.80,158.30,4928633,7858.21,25984,
500034,BAJFINANCE,A,1957.95,1983.00,1924.00,1946.85,395375,7731.22,24007,
500247,KOTAKBANK,A,1232.80,1254.55,1202.05,1228.35,493404,6126.90,9682,
500010,HDFC,A,1587.00,1643.60,1578.00,1625.55,376073,6111.10,18461,
532174,ICICIBANK,A,322.90,329.70,321.00,326.75,1827449,5955.80,22104,
532822,IDEA,A,5.72,6.05,5.70,5.82,97677767,5694.67,167850,
505537,ZEEL,A,165.25,186.35,163.55,180.75,2734072,4886.33,21009,
532755,TECHM,A,529.80,532.05,517.50,529.90,757062,4001.05,3484,
532555,NTPC,A,95.10,96.40,94.55,95.75,4086504,3891.03,3449,
500510,LT,A,858.00,911.15,855.10,903.05,433128,3863.95,21550,
500209,INFY,A,706.10,709.90,690.00,707.25,543370,3786.04,7441,
532500,MARUTI,A,5278.95,5493.60,5227.70,5470.55,67766,3661.58,11953,
532898,POWERGRID,A,159.50,159.50,156.15,157.35,2128426,3342.69,4503,
500470,TATASTEEL,A,291.25,298.50,289.55,295.15,1064017,3129.14,11339,
500570,TATAMOTORS,A,85.65,88.05,84.55,86.85,3387527,2929.25,12632,
517334,MOTHERSUMI,A,86.60,94.95,86.60,92.45,2794415,2578.55,12819,
500696,HINDUNILVR,A,2007.90,2014.60,1990.60,2009.25,125381,2513.57,6401,
