Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,
524542,SUKHJITS,X,163.00,164.00,162.90,164.00,1371,2.23,18,
530073,SANGHVIMOV,B,54.45,60.00,54.45,60.00,3623,2.17,23,
500179,HCL-INSYS,B,7.10,7.20,6.85,7.18,30522,2.17,90,
532804,TIIL,B,227.85,234.30,226.60,234.30,941,2.17,129,
533146,DLINKINDIA,B,79.40,80.30,79.00,79.55,2698,2.15,73,
533321,BILENERGY,B,0.94,0.94,0.94,0.94,227699,2.14,33,
541353,INNOVATORS,M,21.40,23.00,21.40,23.00,9600,2.14,6,
531952,RIBATEX,X,44.80,45.75,43.10,43.10,4821,2.13,15,
532966,TWL,B,31.85,33.40,31.50,32.80,6549,2.12,64,
519421,KSE,XT,1472.00,1472.90,1445.00,1472.90,145,2.12,22,
530803,BHAGIL,B,112.50,113.00,111.50,112.55,1881,2.10,118,
532773,GLOBALVECT,B,49.50,54.25,49.50,52.80,4030,2.10,177,
500314,ORIENTHOT,B,22.85,23.80,22.55,23.25,9041,2.08,58,
506525,KANORICHEM,B,34.60,35.60,34.50,35.50,5951,2.07,27,
526829,CONFIPET,B,19.15,19.15,18.00,18.50,11278,2.07,38,
533295,PSB,B,17.25,17.65,17.25,17.43,11798,2.06,63,
532649,NECLIFE,B,14.90,15.00,14.33,14.33,13927,2.05,68,
540145,VALIANTORG,M,1369.00,1369.00,1369.00,1369.00,150,2.05,1,
540212,TCIEXP,A,658.90,660.45,635.45,651.65,314,2.04,82,
526227,FILATEX,B,32.00,34.95,32.00,32.80,6171,2.04,43,
506248,AMNPLST,X,31.50,32.85,31.15,31.15,6381,2.04,23,
500165,KANSAINER,A,400.90,400.90,394.60,395.20,515,2.04,47,
526729,GOLDIAM,B,106.85,109.05,104.30,106.60,1880,2.03,48,
532756,MAHINDCIE,A,104.00,104.00,98.30,103.10,2006,2.02,61,
540048,SPAL,B,74.35,74.35,69.80,70.70,2816,2.01,101,
539871,THYROCARE,A,549.00,550.00,545.10,547.95,369,2.01,62,
502420,ORIENTPPR,B,19.25,19.35,19.00,19.10,10446,2.00,58,
500620,GESHIP,A,222.00,222.00,215.80,218.15,922,2.00,105,
500231,UMANGDAIR,B,39.05,42.00,39.05,41.35,4963,1.99,65,
530431,ADORFO,X,30.80,31.45,30.00,30.00,6535,1.99,17,
532642,JSWHL,B,1807.00,1874.00,1807.00,1851.00,107,1.99,29,
542934,CBPL,M,49.75,49.80,49.75,49.80,4000,1.99,2,
534425,SPECIALITY,B,35.90,38.35,35.90,38.35,5210,1.98,34,
532180,DHANBANK,B,11.02,11.45,10.96,11.25,17721,1.97,47,
530355,ASIANOI,X,88.00,88.00,80.15,86.55,2278,1.96,27,
500133,ESABINDIA,B,1446.35,1447.70,1439.05,1442.70,136,1.96,26,
540595,TEJASNET,B,39.95,42.90,39.95,42.90,4608,1.96,64,
524731,JENBURPH,X,370.05,379.00,370.00,377.90,523,1.95,13,
532515,TVTODAY,A,198.75,198.75,191.00,192.70,999,1.95,58,
532670,RENUKA,B,6.33,6.33,6.33,6.33,30590,1.93,28,
532951,GSS,B,26.90,27.05,26.45,27.05,7115,1.92,24,
509243,TVSSRICHAK,A,1362.00,1367.70,1337.45,1367.70,143,1.92,35,
590122,ASHIKACR,X,18.40,18.75,18.00,18.00,10345,1.92,15,
522134,ARTSONEN,X,24.25,25.45,23.00,24.00,8048,1.91,65,
506405,DHARAMSI,X,74.50,77.15,74.50,75.00,2498,1.90,18,
507315,SAKHTISUG,B,9.00,9.32,9.00,9.24,20657,1.90,147,
530315,HINDTIN,X,35.25,37.95,34.15,37.00,5194,1.89,61,
517300,GIPCL,B,58.50,59.45,57.95,58.75,3205,1.88,28,
540955,TDSL,M,21.25,21.50,20.05,21.50,9000,1.88,3,
540787,ICICIB22,B,24.86,25.19,24.85,25.00,7522,1.88,99,
500117,DCW,B,10.82,11.14,10.82,11.06,17136,1.87,72,
500084,CESC,A,613.25,614.00,604.00,606.90,309,1.87,56,
534976,VMART,A,1699.35,1719.45,1690.55,1701.90,110,1.87,30,
505790,SCHAEFFLER,A,3499.95,3499.95,3385.00,3390.00,55,1.86,27,
507779,KANPRPLA,X,49.10,50.00,48.70,50.00,3727,1.86,33,
500411,THERMAX,A,733.35,744.00,733.35,740.00,250,1.84,43,
524558,NEULANDLAB,B,410.00,413.35,403.00,404.35,456,1.84,78,
531120,PATELENG,B,12.70,12.84,12.60,12.67,14348,1.83,55,
500210,INGERRAND,B,638.00,639.95,633.15,633.15,289,1.83,15,
539872,BAJAJHCARE,B,259.00,265.00,250.00,254.85,715,1.81,39,
539359,PRITIKAUTO,X,76.25,78.00,76.25,77.20,2341,1.80,14,
532929,BRIGADE,A,112.10,114.00,112.00,112.55,1583,1.79,95,
533080,MOLDTKPAC,B,194.60,197.25,194.45,195.80,911,1.78,34,
505700,ELECON,B,21.35,22.50,21.35,21.95,8074,1.78,87,
540136,HPL,B,26.00,27.25,26.00,26.95,6673,1.77,75,
531869,SACHEMT,X,18.20,18.20,16.35,17.40,10398,1.76,59,
540795,DYNAMIC,M,15.60,22.00,15.60,20.10,9000,1.73,3,
531306,DHPIND,X,325.20,339.90,325.20,339.40,521,1.72,12,
541071,AXISCBGPG,B,8.11,8.11,8.11,8.11,21100,1.71,12,
500710,AKZOINDIA,A,1869.00,1890.35,1869.00,1879.95,90,1.69,52,
539551,NH,A,285.00,287.05,283.00,284.95,593,1.69,48,
531842,LAHOTIOV,X,9.43,9.85,9.43,9.44,17660,1.68,13,
532613,VIPCLOTHNG,B,6.88,6.94,6.79,6.94,24325,1.68,27,
500128,ELECTCAST,B,10.50,10.75,10.41,10.55,15900,1.67,34,
524824,BALPHARMA,B,39.50,41.35,39.50,41.30,4164,1.66,25,
519566,SIMRAN,X,30.00,30.00,30.00,30.00,5552,1.66,18,
532527,RKFORGE*,B,188.20,192.30,179.05,184.00,895,1.65,29,
520086,SICAL,B,8.79,9.05,8.65,8.75,18658,1.64,784,
500135,ESSELPRO,A,178.90,181.70,178.00,178.50,919,1.64,28,
509073,HATHWAYB,XT,22.15,22.15,22.15,22.15,7402,1.63,7,
532673,KMSUGAR,B,7.65,7.85,7.65,7.75,21003,1.63,27,
540153,ENDURANCE,A,806.00,807.85,798.00,798.00,203,1.63,63,
541143,BDL,A,240.45,242.25,237.00,237.90,682,1.63,88,
532742,PAUSHAKLTD,X,2175.00,2175.00,2140.00,2145.00,75,1.61,22,
512437,APOLLOFI,X,190.00,191.90,174.50,191.80,873,1.61,39,
507490,RANASUG,B,3.70,3.70,3.70,3.70,43578,1.61,35,
521248,KITEX,B,101.95,102.00,101.00,101.00,1581,1.60,27,
530233,AUROLAB,X,39.15,40.95,38.00,38.00,4085,1.60,43,
533104,GLOBUSSPR,B,98.00,98.85,95.90,96.95,1638,1.59,49,
540360,LLFICL,X,95.20,100.70,85.05,92.55,1701,1.59,21,
532683,AIAENG,A,1719.95,1719.95,1694.00,1694.00,93,1.58,40,
532309,GEPIL,A,409.50,411.40,408.05,408.05,387,1.58,55,
514394,AJIL,X,53.05,53.05,52.05,53.00,2976,1.57,38,
509715,JAYSHREETEA,B,38.15,39.70,37.85,39.25,4043,1.57,122,
504961,TATAYODOGA,XT,32.80,34.95,32.80,34.90,4484,1.55,36,
500173,GFLLIMITED,B,87.00,88.85,87.00,88.55,1760,1.55,89,
531978,AMBIKCO,B,660.00,665.90,653.45,653.45,237,1.55,20,
532930,BGRENERGY,B,31.30,32.00,31.05,31.50,4945,1.55,53,
532945,SHRIRAMEPC,B,3.57,3.57,3.42,3.51,44112,1.55,57,
539730,FREDUN,X,176.00,185.00,176.00,184.00,866,1.55,13,
532159,TRESCON,X,76.90,76.95,76.50,76.65,2010,1.54,7,
505358,INTEGRAEN,X,22.70,22.90,22.00,22.90,6893,1.54,46,
530589,PRIMAPLA,X,34.35,35.80,34.10,35.10,4440,1.54,37,
533655,TRITURBINE,A,66.65,68.00,66.65,67.95,2250,1.52,55,
533333,FCL,B,28.00,28.00,26.50,27.45,5551,1.50,66,
504273,MODULEX,X,12.50,13.38,12.25,13.38,11300,1.49,9,
507717,DHANUKA,B,583.45,585.15,578.20,578.20,257,1.49,36,
542725,SBC,M,24.80,24.80,24.80,24.80,6000,1.48,1,
513023,NBVENTURES,A,41.60,44.00,41.60,43.05,3405,1.47,72,
500074,BPL,B,16.20,17.20,16.20,16.80,8726,1.47,141,
502015,ASIIL,X,9.20,9.95,9.20,9.90,15237,1.47,22,
524520,KMCSHIL,X,17.00,17.30,17.00,17.10,8654,1.47,47,
590078,MAITHANALL,B,395.65,402.00,395.65,400.65,369,1.47,28,
508941,PANCARBON,X,306.00,322.00,302.10,315.00,467,1.46,38,
505010,AUTOAXLES,B,512.40,520.00,504.30,506.95,282,1.44,41,
532745,INDICAP,X,21.20,23.95,20.60,21.15,6795,1.44,22,
532654,MCLEODRUSS,T,5.27,5.27,5.27,5.27,26971,1.42,20,
533344,PFS,B,10.00,10.10,9.85,9.85,14352,1.42,39,
532940,JKIL,B,88.75,92.20,88.75,91.45,1568,1.42,46,
506532,NITTAGELA,X,116.10,119.20,116.10,119.20,1210,1.42,13,
500333,PIXTRANS,X,110.00,111.00,107.75,108.90,1296,1.41,20,
530011,MANGCHEFER,B,38.00,38.65,37.75,38.15,3693,1.41,140,
533329,INDTERRAIN,B,26.55,27.25,25.50,26.05,5405,1.41,143,
530307,CHAMANSEQ,X,39.85,41.75,39.85,41.50,3436,1.40,37,
531548,SOMANYCERA,A,116.95,116.95,114.00,114.80,1201,1.38,50,
519307,VIKASWSP,B,6.56,6.56,6.56,6.56,21127,1.38,27,
506235,ALEMBICLTD,B,54.90,54.90,54.00,54.15,2556,1.38,78,
509874,SHALPAINTS,B,57.25,63.00,57.25,60.50,2262,1.38,45,
532173,CYBERTECH,B,48.70,50.30,48.50,48.50,2761,1.37,62,
533287,ZEELEARN,B,12.41,12.79,12.41,12.57,10824,1.36,31,
508906,EVERESTIND,B,187.00,188.60,187.00,188.35,724,1.36,46,
516030,YASHPAKKA,X,35.40,36.50,35.40,36.00,3777,1.35,21,
532663,SASKEN,B,414.95,416.05,413.00,413.00,327,1.35,42,
524774,NGLFINE,X,389.95,391.00,385.00,390.00,343,1.33,11,
539228,GGPL,B,44.10,44.30,44.10,44.20,3000,1.32,9,
542852,VISHWARAJ,B,78.00,79.15,78.00,79.00,1681,1.32,43,
532646,UNIPLY,B,5.44,5.50,5.40,5.50,23945,1.31,18,
523398,JCHAC,A,2366.85,2378.35,2341.00,2341.00,56,1.31,25,
524218,RESONANCE,X,44.55,44.55,42.45,43.95,3052,1.31,16,
500245,KIRLFER,B,55.55,57.50,55.55,57.40,2299,1.30,25,
532889,KPRMILL,A,468.40,483.60,468.40,468.40,271,1.30,24,
538666,SHARDACROP,B,188.00,189.10,186.80,186.80,696,1.30,20,
539986,COMSYN,B,49.95,52.25,49.95,50.55,2555,1.29,26,
539407,GENCON,X,59.00,59.85,58.45,58.50,2196,1.29,13,
533248,GPPL,A,62.95,63.75,62.45,62.50,2042,1.29,42,
532081,KSERASERA,T,0.21,0.21,0.19,0.21,619045,1.29,60,
523630,NFL,B,26.35,26.55,26.20,26.25,4902,1.29,47,
519552,HERITGFOOD,A,238.75,245.00,238.05,238.05,534,1.29,14,
530305,PICCADIL,X,8.75,8.79,8.28,8.60,15194,1.28,28,
531882,KWALITY,B,2.50,2.50,2.32,2.37,54313,1.28,82,
532924,KOLTEPATIL,B,160.15,161.05,159.00,159.00,803,1.28,89,
533316,STEL,B,50.50,53.50,49.00,50.75,2530,1.26,111,
531822,RODIUM,X,91.00,91.15,90.00,90.00,1394,1.26,10,
500254,UTTAMVALUE,T,0.26,0.26,0.26,0.26,487940,1.26,27,
502865,FORBESCO,B,977.00,978.00,962.00,963.10,130,1.26,17,
524648,INDOAMIN,X,46.10,47.00,46.10,46.30,2701,1.25,13,
520111,RATNAMANI,A,890.00,930.05,890.00,925.65,135,1.25,27,
524037,RAMAPHO,X,33.85,34.10,33.20,34.10,3691,1.25,31,
532357,MUKTAARTS,B,28.50,29.15,27.10,28.00,4481,1.25,45,
533122,RTNPOWER,B,1.49,1.49,1.49,1.49,84360,1.25,17,
539956,TAALENT,X,127.80,140.00,127.00,127.00,958,1.24,16,
539289,MJCO,B,357.25,360.00,343.35,349.90,354,1.24,46,
539883,PILANIINVS,B,1390.00,1390.00,1361.10,1361.10,90,1.23,15,
530131,UDAICEMENT,X,9.95,10.32,9.95,10.00,12349,1.23,35,
511333,VLSFINANCE,B,44.95,46.00,43.55,45.00,2743,1.23,52,
530343,GENUSPOWER,B,17.00,17.89,17.00,17.70,6993,1.22,48,
531209,NUCLEUS,B,238.10,240.90,238.10,239.65,513,1.22,86,
542460,ANUP,B,352.00,366.70,352.00,365.20,335,1.22,36,
539981,MAXINDIA,A,76.00,76.00,70.15,70.15,1713,1.21,26,
541336,INDOSTAR,A,285.45,285.45,285.10,285.10,426,1.21,16,
540006,EASTWEST,X,59.75,59.90,59.75,59.90,2005,1.19,7,
531795,ATULAUTO,B,166.45,169.15,166.45,168.00,712,1.19,135,
526582,TPLPLAST,B,90.95,91.00,89.00,89.05,1338,1.19,71,
530377,NILA,B,3.96,4.00,3.80,3.98,29838,1.18,16,
500186,HINDOILEXP,B,62.25,62.25,62.25,62.25,1902,1.18,16,
512068,DECNGOLD,XT,15.60,15.65,15.00,15.10,7684,1.17,51,
539018,BEEKAY,X,159.25,187.50,159.25,171.60,680,1.17,13,
500042,BASF,A,1126.15,1127.45,1120.35,1122.00,104,1.16,31,
517168,SUBROS,B,173.95,176.00,173.95,175.00,667,1.16,79,
513121,ORICON,B,14.83,15.54,14.40,14.91,7875,1.15,40,
533339,ZENTEC,B,41.15,42.05,41.00,41.95,2784,1.15,52,
542665,NEOGEN,B,474.00,474.00,463.90,467.00,246,1.15,21,
570004,JISLDVREQS,T,9.50,9.54,9.10,9.54,12199,1.15,36,
542865,ANUROOP,M,11.40,11.40,11.40,11.40,10000,1.14,1,
523385,NILKAMAL,A,1042.95,1044.65,1042.00,1043.10,109,1.13,30,
541269,CHEMFABALKA,B,154.70,154.70,135.00,141.95,806,1.13,85,
518091,APCL,B,133.95,133.95,127.10,129.10,877,1.12,25,
531543,JINDWORLD,B,37.85,37.85,37.85,37.85,2960,1.12,2,
513349,AJMERA,B,89.45,90.00,89.00,89.95,1261,1.12,74,
511766,MUTHTFN,B,287.90,291.00,286.45,291.00,388,1.12,39,
500405,SUPPETRO*,B,161.90,163.60,161.90,162.00,695,1.12,52,
532985,KTKSENSEX,B,353.50,353.50,350.10,350.10,319,1.12,14,
532528,DATAMATICS,B,51.20,52.45,48.80,50.70,2186,1.12,22,
540735,IRIS,M,14.12,14.12,14.12,14.12,8000,1.12,2,
538961,GENUSPAPER,B,5.13,5.49,4.76,4.95,21594,1.11,35,
531599,FDC,A,254.90,254.90,249.15,251.00,442,1.11,57,
526263,MOLDTEK,B,39.80,40.00,38.05,38.05,2808,1.11,37,
524280,KOPRAN,B,29.50,29.90,29.05,29.05,3732,1.10,51,
541233,LEMONTREE,A,22.70,22.70,22.70,22.70,4861,1.10,13,
541019,HGINFRA,B,201.45,201.45,197.15,199.00,552,1.09,25,
531727,MENNPIS,X,13.50,13.50,12.32,13.24,8576,1.08,50,
540762,TIINDIA,A,406.75,406.75,400.40,400.40,271,1.08,18,
532767,GAYAPROJ,T,14.80,14.80,14.11,14.21,7346,1.07,35,
513142,BALASORE,X,10.02,10.50,10.02,10.22,10412,1.06,34,
505526,DOLAT,B,43.00,44.05,42.40,43.40,2468,1.06,48,
580001,STAN,B,38.30,38.30,36.70,37.50,2844,1.06,15,
500083,CENTEXT,B,2.85,3.05,2.60,3.05,35750,1.05,12,
532762,ACE,B,48.05,50.85,48.00,49.50,2100,1.05,59,
532891,PURVA,B,41.00,41.25,40.00,40.75,2573,1.04,40,
538476,CTL,X,3.79,3.99,3.41,3.48,30006,1.04,10,
506261,MODISNME,X,29.40,29.40,27.00,27.00,3836,1.04,16,
516022,STARPAPER,B,95.60,97.15,95.60,96.00,1075,1.04,20,
540396,MANOMAY,M,26.05,26.05,26.05,26.05,4000,1.04,1,
517146,USHAMART,B,15.50,16.09,15.46,15.80,6482,1.03,84,
533282,GRAVITA,B,37.65,38.30,37.65,37.65,2739,1.03,20,
502587,NATHIND,X,64.70,64.70,60.05,62.60,1707,1.02,16,
590066,KCP,B,42.40,43.05,42.00,42.95,2400,1.02,75,
542857,GREENPANEL,B,30.90,32.60,30.90,31.70,3175,1.01,44,
505400,TEXINFRA,B,35.50,38.00,35.50,36.50,2700,1.00,31,
532349,TCI,B,163.10,164.90,161.60,161.60,615,1.00,26,
532808,PGIL,B,100.00,102.05,99.00,102.05,1001,0.99,5,
532729,UTTAMSUGAR,B,69.10,69.10,69.10,69.10,1440,0.99,13,
