,Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,Unnamed: 10
1635,508807,ISTLTD,X,290.0,297.95,280.0,297.95,171,0.48,6,
1636,505412,WENDT,B,2072.95,2100.0,2060.0,2092.5,23,0.48,14,
1637,505230,CIMMCO,B,15.63,15.63,14.87,15.52,3142,0.48,26,
1638,505324,MANUGRAPH,B,7.19,7.5,7.01,7.17,6486,0.47,28,
1639,511147,WSFIN,X,13.36,14.7,13.36,14.7,3471,0.47,13,
1640,532937,KUANTUM,B,365.4,366.25,365.4,366.25,129,0.47,14,
1641,542641,CKFSL,Z,0.42,0.42,0.4,0.42,116335,0.47,12,
1642,540774,IFGLEXPOR,B,106.9,107.15,100.4,107.15,430,0.46,16,
1643,532070,SUPRBPA,X,9.1,9.1,9.1,9.1,5000,0.46,1,
1644,532507,BAGFILMS,B,1.64,1.73,1.64,1.73,26929,0.46,21,
1645,513488,SSWRL,X,13.23,13.23,13.0,13.23,3500,0.46,15,
1646,523120,ADORMUL,X,30.0,30.05,30.0,30.0,1533,0.46,6,
1647,511066,SAKTHIFIN,X,13.64,13.92,12.5,13.1,3397,0.45,14,
1648,532408,MEGASOFT,B,5.75,5.9,5.65,5.65,7905,0.45,133,
1649,530317,GODAVARI,X,16.3,16.5,15.3,16.25,2722,0.44,18,
1650,533262,RAMKY,B,31.1,31.8,30.8,31.45,1411,0.44,31,
1651,539113,PML,X,865.0,869.0,783.15,805.0,53,0.44,13,
1652,508922,MSRINDIA,X,9.07,9.07,8.31,8.6,5161,0.44,22,
1653,503031,PENINLAND,B,3.0,3.13,2.98,3.13,14519,0.44,23,
1654,501370,WALCHPF,X,43.5,43.9,42.0,43.7,1030,0.44,70,
1655,524396,BIOFILCHEM,T,14.2,14.2,12.95,12.97,3307,0.44,12,
1656,541984,NIOSAG,B,6.78,6.78,6.78,6.78,6500,0.44,4,
1657,524764,NUTRA,X,6.08,6.09,5.7,6.09,7083,0.43,31,
1658,523840,INNOVTEC,X,7.74,8.5,7.74,8.44,5260,0.43,20,
1659,514034,JBFIND,B,10.33,10.33,10.33,10.33,4137,0.43,12,
1660,511658,NETTLINX,X,17.9,17.9,16.75,17.05,2556,0.43,26,
1661,505737,INTLCOMBQ,X,103.0,104.75,99.0,104.5,411,0.43,13,
1662,539843,NINSYS,M,8.5,8.5,8.5,8.5,5000,0.43,1,
1663,539526,SCTL,B,1.19,1.19,1.1,1.14,38480,0.43,26,
1664,538778,AKASHDEEP,X,17.85,17.85,17.0,17.85,2462,0.43,8,
1665,532869,TARMAT,B,20.85,20.9,20.85,20.9,2037,0.43,60,
1666,532799,HUBTOWN,B,9.5,9.76,9.5,9.76,4411,0.43,113,
1667,532717,INDOTECH,B,77.75,79.15,77.1,79.15,550,0.43,22,
1668,532386,CALSOFT,B,8.1,8.39,7.67,8.11,5318,0.42,33,
1669,532310,SHREERAMA,B,4.15,4.2,4.0,4.2,10205,0.42,8,
1670,533270,BEDMUTHA,B,14.23,14.4,13.17,14.39,3047,0.42,18,
1671,539841,LANCER,B,27.5,27.5,25.65,26.2,1596,0.42,27,
