,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,SYMBOL,OPEN,HIGH,LOW,PREV.,CLOSE,LTP,CHNG,%CHNG,"VOLUME
(shares)
VALUE
(₹","Lakhs)
52W",H,52W,L,TODAY
0,NIFTY,50,"8,889.15","9,000.05","8,875.35","8,879.10","8,949.85",70.75,0.80,"22,27,61,356","11,14,853.94","12,430.50","7,511.10",,
0,UPL,339.05,358.60,336.00,339.65,353.35,13.70,4.03,"82,19,245","28,958.04",709.05,240.15,,,
0,ITC,171.95,177.00,171.00,170.75,176.40,5.65,3.31,"1,23,53,435","21,660.51",310.00,134.60,,,
0,BPCL,294.00,303.00,292.05,293.30,302.10,8.80,3.00,"21,85,997","6,551.87",549.00,252.00,,,
0,LT,800.00,824.90,800.00,796.35,819.75,23.40,2.94,"20,49,718","16,741.07","1,607.00",661.00,,,
0,TATASTEEL,272.00,281.25,270.10,272.00,279.10,7.10,2.61,"58,31,072","16,240.70",518.60,250.85,,,
0,CIPLA,597.00,613.80,595.40,594.95,"609.80
14.85",2.50,"52,56,938","31,977.43",632.65,355.30,,,,
0,NESTLEIND,"16,241.00","16,594.95","16,151.00","16,150.30","16,473.20",322.90,2.00,"77,431","12,739.80","18,369.95","10,493.95",,,
0,RELIANCE,"1,410.00","1,446.85","1,393.00","1,408.90","1,435.60",26.70,1.90,"1,29,94,048","1,85,006.66","1,601.53",866.98,,,
0,DRREDDY,"3,720.90","3,784.00","3,702.85","3,699.60","3,761.95",62.35,1.69,"5,26,719","19,727.00","4,132.20","2,351.20",,,
0,TITAN,824.00,842.00,818.60,826.80,840.65,13.85,1.68,"9,11,055","7,622.43","1,389.95",720.90,,,
0,IOC,72.35,73.30,71.90,72.05,"73.20
1.15",1.60,"37,47,178","2,731.69",170.75,71.15,,,,
0,BAJAJ-AUTO,"2,496.00","2,556.35","2,477.45","2,509.30","2,546.00",36.70,1.46,"4,17,148","10,504.04","3,315.15","1,788.65",,,
0,BAJAJFINSV,"4,548.00","4,649.00","4,521.45","4,535.45","4,601.60",66.15,1.46,"2,29,482","10,534.12","9,950.00","4,160.25",,,
0,SUNPHARMA,439.90,450.25,437.25,441.70,448.10,6.40,1.45,"24,88,411","11,100.55",504.80,312.00,,,
0,BRITANNIA,"3,110.60","3,159.00","3,106.85","3,104.00","3,147.45",43.45,1.40,"1,84,538","5,796.58","3,583.75","2,100.00",,,
0,HCLTECH,515.05,525.50,515.00,518.25,525.10,6.85,1.32,"10,59,673","5,516.76",623.50,375.25,,,
0,ZEEL,150.45,154.65,149.35,150.25,152.15,1.90,1.26,"56,42,299","8,650.77",405.20,114.00,,,
0,GRASIM,511.00,524.50,507.00,511.85,518.00,6.15,1.20,"6,54,611","3,401.03",959.80,385.05,,,
0,HINDALCO,117.30,119.35,116.25,117.30,118.70,1.40,1.19,"27,80,189","3,294.52",221.20,84.90,,,
0,HINDUNILVR,"1,975.55","2,004.50","1,975.00","1,975.55","1,998.95",23.40,1.18,"10,44,376","20,832.38","2,614.30","1,659.05",,,
0,GAIL,81.85,84.40,81.30,81.85,82.80,0.95,1.16,"43,07,783","3,590.11",182.70,65.00,,,
0,SHREECEM,"18,351.05","18,781.95","18,351.05","18,340.75","18,550.00",209.25,1.14,"20,135","3,752.18","25,355.00","15,410.00",,,
0,ONGC,77.20,78.45,76.30,77.15,77.95,0.80,1.04,"56,39,913","4,382.78",178.90,50.00,,,
0,HDFC,"1,550.00","1,575.50","1,545.00","1,539.85","1,554.50
14.65",0.95,"16,16,941","25,247.89","2,499.90","1,473.45",,,,
0,TATAMOTORS,81.25,83.35,80.70,81.80,82.55,0.75,0.92,"1,44,45,155","11,933.14",201.70,63.50,,,
0,JSWSTEEL,169.30,173.00,168.30,169.30,170.85,1.55,0.92,"26,63,596","4,570.73",297.50,132.50,,,
0,M&M,382.90,388.40,379.70,382.90,386.15,3.25,0.85,"11,10,175","4,281.83",683.00,245.40,,,
0,HDFCBANK,836.45,847.35,833.30,830.65,837.05,6.40,0.77,"67,47,121","56,716.30","1,305.50",738.75,,,
0,KOTAKBANK,"1,130.00","1,150.00","1,115.00","1,130.45","1,138.90",8.45,0.75,"12,98,215","14,789.91","1,740.00","1,001.00",,,
0,NTPC,89.90,92.85,89.30,91.05,91.70,0.65,0.71,"31,87,983","2,926.25",145.85,73.20,,,
0,ICICIBANK,299.00,305.45,297.50,300.30,302.35,2.05,0.68,"1,18,62,905","35,960.02",552.20,268.30,,,
0,ULTRACEMCO,"3,449.95","3,521.95","3,435.00","3,438.15","3,460.00",21.85,0.64,"2,13,252","7,419.85","4,904.95","2,910.00",,,
0,EICHERMOT,"12,966.20","13,120.00","12,893.00","12,966.20","13,044.00
77.80",0.60,"40,967","5,339.75","23,450.00","12,450.10",,,,
0,POWERGRID,156.25,160.65,155.75,158.05,158.85,0.80,0.51,"32,29,597","5,135.71",216.25,122.15,,,
0,BAJFINANCE,"1,970.00","2,023.70","1,935.00","1,964.95","1,974.35
9.40",0.48,"80,07,090","1,58,453.91","4,923.40","1,915.65",,,,
0,TECHM,515.00,517.90,510.70,512.60,514.65,2.05,0.40,"6,73,055","3,457.28",845.90,471.40,,,
0,AXISBANK,353.00,361.35,350.00,354.50,353.95,-0.55,-0.16,"96,50,905","34,472.07",827.75,286.00,,,
