,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,WIPRO,185.00,185.00,182.20,184.40,184.10,-0.30,-0.16,"40,46,821","7,433.61",301.60,159.40,,,
0,SBIN,153.00,153.90,151.15,152.80,"152.55
-0.25",-0.16,"2,30,07,095","35,058.21",373.80,151.15,,,,
0,ASIANPAINT,"1,503.95","1,514.00","1,492.65","1,503.95","1,500.00",-3.95,-0.26,"5,72,245","8,595.23","1,916.70","1,291.25",,,
0,MARUTI,"4,754.00","4,865.00","4,745.50","4,805.30","4,786.80",-18.50,-0.38,"5,28,882","25,455.83","7,758.70","4,001.10",,,
0,COALINDIA,123.00,123.70,121.85,123.60,"123.10
-0.50",-0.40,"19,38,221","2,384.59",271.45,119.20,,,,
0,TCS,"1,950.00","1,954.65","1,931.70","1,948.65","1,938.15",-10.50,-0.54,"8,46,370","16,421.19","2,296.20","1,506.05",,,
0,ADANIPORTS,318.00,318.85,311.55,319.20,317.35,-1.85,-0.58,"20,99,306","6,608.62",430.60,203.00,,,
0,BHARTIARTL,605.00,612.00,592.05,598.80,"593.45
-5.35",-0.89,"1,90,47,177","1,14,664.01",612.00,321.15,,,,
0,INFY,668.50,669.95,659.65,668.60,662.15,-6.45,-0.96,"14,62,777","9,719.42",847.00,509.25,,,
0,VEDL,90.05,90.55,88.30,90.00,88.50,-1.50,-1.67,"76,91,707","6,875.62",180.00,60.20,,,
0,HEROMOTOCO,"2,059.00","2,067.80","2,010.00","2,073.50","2,019.80",-53.70,-2.59,"8,25,726","16,727.97","3,022.90","1,475.00",,,
0,INDUSINDBK,364.00,370.85,352.70,367.80,356.35,-11.45,-3.11,"1,09,34,873","39,402.72","1,672.95",235.55,,,
0,INFRATEL,213.10,217.45,204.45,218.75,205.40,-13.35,-6.10,"63,91,805","13,489.27",296.50,120.05,,,
