Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,
532822,IDEA,A,9.26,9.49,9.06,9.28,65920830,6144.00,70726,
500325,RELIANCE,A,1601.90,1617.70,1584.15,1591.45,269106,4311.00,11936,
532454,BHARTIARTL,A,590.00,590.00,567.70,568.70,684075,3952.00,12372,
500034,BAJFINANCE,A,2342.00,2366.05,2275.10,2286.30,164710,3826.00,10797,
500112,SBIN,A,176.85,180.90,176.00,177.90,1659944,2965.00,9915,
500298,NATPEROX,X,2103.80,2308.70,2103.80,2240.05,114503,2561.00,9729,
532187,INDUSINDBK,A,419.95,427.20,411.30,414.20,556280,2336.00,8720,
500570,TATAMOTORS,A,100.90,104.60,99.60,104.10,1707694,1756.00,6948,
500180,HDFCBANK,A,1003.00,1025.30,1002.35,1011.70,166690,1696.00,5000,
500470,TATASTEEL,A,324.90,335.50,324.85,334.30,497612,1650.00,5794,
532215,AXISBANK,A,399.70,402.45,390.60,392.70,372860,1480.00,6230,
524715,SUNPHARMA*,A,500.00,508.80,498.25,503.70,289151,1460.00,4976,
505537,ZEEL,A,209.40,210.30,202.30,206.25,699754,1445.00,6171,
532174,ICICIBANK,A,349.90,354.60,347.30,348.85,367923,1290.00,4686,
500228,JSWSTEEL,A,196.00,201.20,194.60,199.45,610751,1214.00,4810,
532286,JINDALSTEL,A,138.90,144.40,138.65,141.75,845394,1195.00,5251,
532868,DLF,A,150.35,154.40,148.85,153.05,766619,1163.00,4939,
539450,SHK,A,68.40,70.00,67.25,68.00,1765947,1154.00,1578,
500010,HDFC,A,1774.10,1788.15,1744.60,1751.20,63195,1116.00,3510,
542830,IRCTC,B,1459.00,1482.00,1435.80,1456.00,74256,1084.00,4864,
532500,MARUTI,A,5725.10,5777.00,5671.60,5706.50,18840,1079.00,2736,
500510,LT,A,937.50,964.90,937.50,954.20,111944,1066.00,4479,
539448,INDIGO,A,1120.00,1152.85,1120.00,1137.30,91654,1041.00,4635,
532689,PVR,A,1087.00,1133.00,1087.00,1115.50,81996,910.00,5917,
500247,KOTAKBANK,A,1341.00,1358.00,1325.05,1328.35,65773,882.00,3955,
532540,TCS,A,2093.90,2094.95,2040.90,2056.65,41409,851.00,3756,
500440,HINDALCO,A,144.00,151.00,143.65,149.55,553358,821.00,4307,
