Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,
542747,NETFSNX150,B,31.34,31.35,27.70,31.35,402,0.13,14,
540850,JFL,M,6.29,6.29,6.29,6.29,2000,0.13,1,
540823,VITESSE,XT,38.00,41.70,38.00,41.70,307,0.12,5,
540669,UTINEXT50,B,242.55,242.55,242.55,242.55,50,0.12,1,
539992,LLOYDSTEEL,B,0.69,0.69,0.69,0.69,17099,0.12,10,
541503,UNICK,XT,23.40,23.40,23.40,23.40,500,0.12,1,
526073,GALXBRG,XT,126.50,126.50,116.15,126.30,91,0.12,3,
526504,DOLPHMED,XT,0.87,0.88,0.87,0.88,14130,0.12,14,
523708,EIMCOELECO,B,246.00,246.00,246.00,246.00,50,0.12,7,
523550,KRYPTONQ,X,7.99,7.99,7.50,7.50,1539,0.12,12,
515093,MADHAV,B,19.55,19.60,19.25,19.25,601,0.12,36,
513536,GNRL,X,10.75,10.75,10.75,10.75,1110,0.12,2,
513511,PANCHMAHQ,X,21.15,21.15,21.15,21.15,550,0.12,2,
514030,DEEPAKSP,X,65.00,65.00,65.00,65.00,190,0.12,4,
511630,SAMBHAAV,B,1.84,1.85,1.77,1.77,6454,0.12,11,
507180,KESARENT,X,25.85,26.70,25.10,26.55,450,0.12,17,
526957,UDL,X,3.80,3.80,3.73,3.73,3165,0.12,21,
530459,VALSONQ,X,14.01,14.80,14.00,14.70,844,0.12,18,
533470,RUSHIL,B,111.20,112.85,111.20,112.85,110,0.12,5,
533007,LGBFORGE,B,2.25,2.25,2.25,2.25,5151,0.12,3,
532931,BURNPUR,B,1.05,1.05,1.01,1.01,11401,0.12,6,
533638,FLEXITUFF,B,5.14,5.14,5.14,5.14,2305,0.12,8,
534600,JTLINFRA,X,79.40,79.90,76.00,79.90,140,0.11,5,
539031,SETFBSE100,B,105.99,105.99,105.80,105.80,107,0.11,4,
539011,CHENFERRO,XT,5.13,5.13,4.88,5.13,2276,0.11,8,
532855,HARYNACAP,X,24.35,24.50,24.35,24.50,468,0.11,4,
533315,INOVSYNTH,X,4.81,5.27,4.81,5.25,2130,0.11,5,
533212,GKB,X,72.00,72.00,72.00,72.00,151,0.11,4,
532695,CELEBRITY,B,4.24,4.34,4.24,4.31,2571,0.11,10,
504840,KAIRA,X,720.00,720.00,655.00,665.00,16,0.11,6,
504378,NYSSACORP,XT,1.03,1.03,1.03,1.03,10900,0.11,5,
500460,MUKANDLTD,B,17.05,17.50,17.05,17.50,606,0.11,8,
512247,ASHCAP,X,2.14,2.14,2.00,2.02,5252,0.11,22,
516062,NATPLY,X,8.35,8.35,7.94,7.96,1337,0.11,8,
520123,ABCINDQ,X,42.00,44.10,41.90,44.10,266,0.11,11,
523539,PRECWIRE,B,80.45,83.90,80.45,83.90,135,0.11,14,
521163,ZODIACLOTH,B,115.00,116.10,115.00,116.00,93,0.11,16,
522207,RASANDIK,X,38.00,39.50,35.50,36.40,296,0.11,9,
524675,KABSON,XT,3.19,3.34,3.19,3.19,3406,0.11,15,
524576,VIVIDIND,X,11.50,11.64,11.06,11.29,984,0.11,8,
542919,ARTEMISMED,B,169.95,172.00,162.00,165.00,65,0.11,6,
540730,MEHAI,B,41.90,44.10,39.90,42.00,277,0.11,10,
540654,GSTL,B,65.90,65.90,57.45,64.85,162,0.10,10,
540405,OCEANIC,T,36.70,38.75,36.70,38.75,266,0.10,3,
526614,EXPOGAS,X,2.86,2.86,2.70,2.86,3405,0.10,13,
526143,MPL,XT,3.24,3.40,3.10,3.40,3091,0.10,11,
523696,FORTISMLR,X,45.00,45.00,42.60,43.00,233,0.10,11,
520141,SIBARAUT,X,10.38,10.38,9.41,9.41,1008,0.10,3,
519287,MODAIRY,X,4.78,4.78,4.78,4.78,2000,0.10,6,
517447,RSSOFTWARE,B,13.10,13.75,13.10,13.75,761,0.10,6,
512296,BHAGYNAGAR,B,15.18,15.18,14.35,14.95,676,0.10,18,
511764,UPASAFN,X,14.00,14.70,14.00,14.65,700,0.10,5,
511557,PROFINC,X,19.00,21.85,19.00,19.25,537,0.10,11,
513108,GANDHITUBE,B,168.00,168.50,165.00,166.90,59,0.10,6,
500360,RAPICUT,X,25.50,27.00,24.05,24.15,412,0.10,13,
